Capacity name,Capacity Id,SKU
BTDP CDMO and CMI,FD594DE7-115C-4021-9175-C344504E3C31,P4
BTDP Retail,ECD20D69-89E1-4AF0-8182-E1FE1D6A718C,P5
DGAF DATA FACTORY TEAM,68C19A57-F569-45E5-983E-CDC2F4022E1A,P3
EUROPE-0,51FDE62B-6EBC-4957-99E9-BC5BC335F502,P3
EUROPE-3,83C808A1-46D8-4703-B6B6-7026DB3F25D8,P2
EUROPE-4,B8A9BBC9-301A-43A3-8CB8-F3EFA66CA44F,P3
EUROPE-QRT,EC4BFA19-075A-4691-88B0-2C4CE41A267F,P1
EUROPE-SSBI,65CD0261-1A9C-48AD-8EA7-51449E22CFE6,P3
nefabpdamericas,4B7586C0-A1B0-4F62-8C6E-ED424D947D79,F512
nefabpdamericas2quarantine,422F3319-5ABE-4132-8DAE-8C718574CC90,F128
nefabpdamericas3qa,408E21EC-A26F-47AD-AE27-CA933A6D1023,F128
nefabpdamericascommunity01,8D2EB310-DDAD-401F-B0F1-6A786AB57A29,F256
nefabpdamericasexecutive,95E4F768-E469-4807-8FF2-88DB73E06846,F512
nefabpdbtdgbttesting,103CB1CC-DD31-4227-AEF9-2405B5583AAF,F256
nefabpdbtdpcommunity01,F05F5C9D-0A22-4B96-8360-CA11A628A906,F64
nefabpdbtdpcommunity02,799DDE1D-A775-4A11-B4EA-D03DA356B009,F512
nefabpdbtdpcommunity04,5B33F804-E478-40F5-8299-8909BEFF1176,F64
nefabpdbtdpprod,19FDF831-0FCC-4C76-BA20-9456C0E9F748,F512
nefabpdcess,6B58FF2A-1176-44B4-9220-4AAC3E5EF870,F64
nefabpdeurope0,64BF1072-C281-4218-875C-3CF9BA31AF7C,F256
nefabpdeurope1,4AE38F11-978E-4DEB-9A04-1780E34DF2A9,F128
nefabpdeurope2,CE37B9B3-5354-4994-9A5F-F4F1EB28FDAC,F128
nefabpdeurope3,9B91F42B-E1EC-4ADD-8FC4-48932936622B,F128
nefabpdeurope4,A84FFA6E-E287-4D96-80BD-06A71AB4D318,F256
nefabpdeuropessbi,998CE192-0369-46D6-92D1-C5F082EFBEF2,F256
nefabpdglobalbeautytech,BD6CAEFC-B984-4AC7-933A-4D1D856C3202,F64
nefabpdglobalhr,83DCF372-3A74-4BFC-AA90-910D0FACE662,F128
nefabpdglobalhrssbi,77900F17-3B6A-47CA-BD40-A2FB2B0E8DE5,F64
nefabpditdivisions,6074873C-A07B-49B0-A406-658DEEFC07EF,F64
nefabpdnasiacommunity,15F56588-3ACC-4718-8471-8A69BCF251EC,F64
nefabpdnasiaprod,F970B9D5-6153-489A-83AB-5FA60FDEED9C,F256
nefabpdnasiatest,A2D0C9B0-8A58-4F56-B8B4-0B61BD23B5CF,F64
nefabpdneo,A0CE8B63-600D-4443-82E0-A4E2C087E11E,F64
nefabpdonlineofflinedigital,4DF8424B-FFD0-410F-99AC-D9EFD6E57E5B,F256
nefabpdopsfin1,E1C34281-56FF-4ABB-B30C-6CEC3195E3C8,F256
nefabpdopsfin2,8E081186-5561-4EC4-BC67-CB85A3F8C319,F128
nefabpdopsfin3,3C3D91E8-9739-4202-8EAA-6981ED47E045,F128
nefabpdopsfin4,E5861D32-A5B1-4098-B701-F9E72F68BF4C,F128
nefabpdopsfin5,86E57904-B82A-4335-8977-18DB3173E73E,F256
nefabpdri1,76F90989-7863-43E1-94B5-72F97C40784F,F256
nefabpdri2,228A0397-EF4C-47B2-BA37-DA69CF932F36,F128
nefabpdsapmenacommunity,15413EA7-9662-40AB-82E8-1C9AED2C0BFE,F64
nefabpdsapmenaprod,C5A5AD7C-8DB5-4891-AD6D-FB7B785D6CD7,F256
nefabpdsapmenatest,420EECC4-6770-4828-B27C-FCBF91F034F4,F64
nefabpdtechfactoryandintegration,F5E5997F-3E4D-463D-AC35-E481347A7434,F64
nefabpdtravelretail,40EBC026-38C5-422C-BB13-775E5BA85107,F64
negbtfabnpdmigrationtooling,E5871422-3D3A-429E-8E39-723C07F6CF8D,F64
NEO,7F045E60-6DBA-47BF-A6AA-48E47F2C3819,P1
OpsFin-1,51252714-E430-4857-BAD6-210C4529DF14,P4
RI1,34B9FA00-2AFF-4A66-8EA6-C4C9FBBFD311,P3
Tech Factory and Integration,63C1234D-B67C-46BE-8BBC-FC4F6897CC1C,P1
